"customer symbol";"Symbol";"Manufacturer part number";"Producer";"Quantity";"Unit";"Net price";"Net value";"Currency"
"";"74HC74D.653";"74HC74D,653";"NEXPERIA";"3";"pcs";"1.1109";"3.3327";"PLN"
"";"74LVC1G06GW.125";"74LVC1G06GW,125";"NEXPERIA";"10";"pcs";"3.8325";"38.325";"PLN"
"";"TCJB226M016R0150";"TCJB226M016R0150";"KYOCERA AVX";"6";"pcs";"4.568";"27.408";"PLN"
"";"4609X-101-103LF";"4609X-101-103LF";"BOURNS";"5";"pcs";"1.87458";"9.3729";"PLN"
"";"EEUFR1V221";"EEUFR1V221";"PANASONIC";"2";"pcs";"2.46704";"4.93408";"PLN"
"";"MSS-2235S";"";"NINIGI";"2";"pcs";"1.65";"3.3";"PLN"
"";"PRP185-10K-A";"PRP185-10K-A16P1";"TELPOD";"3";"pcs";"18.75";"56.25";"PLN"
"";"SKHHLRA010";"SKHHLRA010";"ALPS";"2";"pcs";"1.62001";"3.24002";"PLN"
"";"74HC32D.653";"74HC32D,653";"NEXPERIA";"3";"pcs";"1.58761";"4.76283";"PLN"
"";"74HC107D.653";"74HC107D,653";"NEXPERIA";"3";"pcs";"2.865";"8.595";"PLN"
"";"1N4148W-7-F";"1N4148W-7-F";"DIODES INCORPORATED";"25";"pcs";"0.1898";"4.745";"PLN"
"";"1882.2781";"1882.2781";"MENTOR";"1";"pcs";"7.0355";"7.0355";"PLN"
"";"293D476X9010B2TE3";"293D476X9010B2TE3";"VISHAY";"5";"pcs";"1.62464";"8.1232";"PLN"
"";"WF08P-33K-5%";"WF08P333JTL";"WALSIN";"100";"pcs";"0.06901";"6.901";"PLN"
"";"SMD0402-33K";"0402WGJ0333TCE";"ROYAL OHM";"100";"pcs";"0.03899";"3.899";"PLN"
"";"SMD0805-51K";"0805S8J0513T5E";"ROYAL OHM";"100";"pcs";"0.06234";"6.234";"PLN"
"";"WF08P-10K-5%";"WF08P103JTL";"WALSIN";"100";"pcs";"0.06901";"6.901";"PLN"
"";"74HC244D.653";"74HC244D,653";"NEXPERIA";"3";"pcs";"2.5504";"7.6512";"PLN"
"";"74HC08D.653";"74HC08D,653";"NEXPERIA";"5";"pcs";"1.08772";"5.4386";"PLN"
"";"BC856CW-DIO";"BC856CW";"DIOTEC SEMICONDUCTOR";"25";"pcs";"0.16293";"4.07325";"PLN"
"";"SFH617A-3X007T";"SFH617A-3X007T";"VISHAY";"10";"pcs";"0.9123";"9.123";"PLN"
"";"T491D337K010AT";"T491D337K010AT";"KEMET";"1";"pcs";"5.55492";"5.55492";"PLN"
"";"T520B106M016ATE100";"T520B106M016ATE100";"KEMET";"5";"pcs";"4.35158";"21.7579";"PLN"
"";"08051C103KAT2A";"08051C103KAT2A";"KYOCERA AVX";"10";"pcs";"0.41796";"4.1796";"PLN"
"";"CD74HC393M";"CD74HC393M";"TEXAS INSTRUMENTS";"3";"pcs";"3.8568";"11.5704";"PLN"
